state,Office UUID,Office Name,Seat,Office Level,Office Role,Office Category,Body Name,Jurisdiction,Jurisdiction OCDID,OCDID,Electoral District,Person UUID,Official Name,Official Party,party,wnw,race,sex,level,include,state
FL,39cea5d9-c185-439b-83fb-15a69ce95055,Orlando City Commissioner,District 6,locality,,,,Orlando city,,ocd-division/country:us/state:fl/place:orlando/council_district:6,Orlando City Council District 6,48e96dde-9fd4-4f12-ae81-42a05854a427,Bakari F. Burns,Nonpartisan,Independent,Non-White,Black or African American,Male,City,1,FL
FL,ca93ad71-e438-44f0-b3ed-e26689b0889a,Orlando City Commissioner,District 2,locality,,,,Orlando city,,ocd-division/country:us/state:fl/place:orlando/council_district:2,Orlando City Council District 2,36f7908d-c9bc-47b5-a9f1-acb8c5316762,Tony Ortiz,Nonpartisan,Independent,Non-White,Hispanic or Latino,Male,City,1,FL
FL,79076da3-1295-43ff-b039-8257f124c2a4,Orlando City Commissioner,District 1,locality,,,,Orlando city,,ocd-division/country:us/state:fl/place:orlando/council_district:1,Orlando City Council District 1,91a44a70-f6e7-41d5-8c4c-c24ccd8c6124,Jim Gray,Nonpartisan,Independent,White,White,Male,City,1,FL
FL,3589cd07-937d-4fe5-a5aa-804be83df4c5,Orlando City Commissioner,District 3,locality,,,,Orlando city,,ocd-division/country:us/state:fl/place:orlando/council_district:3,Orlando City Council District 3,c05d9b2a-0354-4b27-8b5e-366d425017e6,Robert F. Stuart,Nonpartisan,Independent,White,White,Male,City,1,FL
FL,44549d36-876b-4884-99e4-3240d56857bd,Orlando City Commissioner,District 4,locality,,,,Orlando city,,ocd-division/country:us/state:fl/place:orlando/council_district:4,Orlando City Council District 4,40931bfc-b59e-46ec-8ae3-8b2de48891e5,Patty Sheehan,Nonpartisan,Independent,White,White,Female,City,1,FL
FL,dbfe6464-09d2-48d2-b82d-a613a5939dba,Orlando Mayor,,locality,,,,Orlando city,,ocd-division/country:us/state:fl/place:orlando,Orlando city,92320a34-f21b-43ad-abf9-d6850e167f54,Buddy Dyer,Nonpartisan,Independent,White,White,Male,City,1,FL
FL,4c996da4-340e-4f98-b772-a1e7385ca38b,St. Petersburg City Council Member,District 5,locality,,,,St. Petersburg city,,ocd-division/country:us/state:fl/place:st_petersburg/council_district:5,St. Petersburg City Council District 5,10db7ad8-6460-4ae1-9473-b402174a1450,Deborah Figgs-Sanders,Nonpartisan,Independent,Non-White,Black or African American,Female,City,1,FL
FL,b4ff8898-0d54-41c8-ba93-9a578d07eb48,St. Petersburg City Council Member,District 7,locality,,,,St. Petersburg city,,ocd-division/country:us/state:fl/place:st_petersburg/council_district:7,St. Petersburg City Council District 7,9d1c557c-a715-41b2-86de-74cec8714694,Lisa Wheeler-Brown,Nonpartisan,Independent,Non-White,Black or African American,Female,City,1,FL
FL,af757629-5935-414f-8c74-cbec0d4f1c58,St. Petersburg City Council Member,District 1,locality,,,,St. Petersburg city,,ocd-division/country:us/state:fl/place:st_petersburg/council_district:1,St. Petersburg City Council District 1,f95bf3e1-1c8f-4064-aa95-11eb5579e8e2,Robert G. Blackmon,Nonpartisan,Independent,White,White,Male,City,1,FL
FL,8ffeffd7-372c-49bd-90f3-ea7672db2afd,St. Petersburg City Council Member,District 2,locality,,,,St. Petersburg city,,ocd-division/country:us/state:fl/place:st_petersburg/council_district:2,St. Petersburg City Council District 2,6faaf9ab-2581-4a39-b59c-49f498b132fb,Brandi Gabbard,Nonpartisan,Independent,White,White,Female,City,1,FL
FL,21cce50f-d824-4c7e-af01-96abbad631c1,St. Petersburg City Council Member,District 3,locality,,,,St. Petersburg city,,ocd-division/country:us/state:fl/place:st_petersburg/council_district:3,St. Petersburg City Council District 3,9a594a03-d959-4d06-ba52-707602719b39,Ed Montanari,Nonpartisan,Independent,White,White,Male,City,1,FL
FL,8e1ad0f4-4ca4-4e2b-b100-7b916f7429b6,St. Petersburg City Council Member,District 4,locality,,,,St. Petersburg city,,ocd-division/country:us/state:fl/place:st_petersburg/council_district:4,St. Petersburg City Council District 4,b3dba4e7-2a84-4106-92f1-246377603903,Darden Rice,Nonpartisan,Independent,White,White,Female,City,1,FL
FL,3c0664eb-6bf6-406e-928b-ec2876883e2f,St. Petersburg City Council Member,District 6,locality,,,,St. Petersburg city,,ocd-division/country:us/state:fl/place:st_petersburg/council_district:6,St. Petersburg City Council District 6,012ff6e0-de3a-4ece-bf53-1ae50722e779,Gina Driscoll,Nonpartisan,Independent,White,White,Female,City,1,FL
FL,d89d0227-efb8-4b1f-a629-8245f517c773,St. Petersburg City Council Member,District 8,locality,,,,St. Petersburg city,,ocd-division/country:us/state:fl/place:st_petersburg/council_district:8,St. Petersburg City Council District 8,dad3de96-3acf-4ed3-b046-70a5484b2cfd,Amy Foster,Nonpartisan,Independent,White,White,Female,City,1,FL
FL,029dc3e5-365a-4d2a-8915-6e92312af9aa,St. Petersburg Mayor,,locality,,,,St. Petersburg city,,ocd-division/country:us/state:fl/place:st_petersburg,St. Petersburg city,11d4e124-649e-4103-b49f-149fb3ab896b,Rick Kriseman,Nonpartisan,Independent,White,White,Male,City,1,FL
FL,26aedcdf-e3cd-4d80-8c43-34760df7065c,Tampa City Council Member,District 5,locality,,,,Tampa city,,ocd-division/country:us/state:fl/place:tampa/council_district:5,Tampa City Council District 5,942faad8-3f02-483e-ab07-c2d134354553,Orlando Gudes,Nonpartisan,Independent,Non-White,Black or African American,Male,City,1,FL
FL,69cb27d5-790b-471f-9bcc-156842d0e373,Tampa City Council Member,At-Large District 2,locality,,,,Tampa city,,ocd-division/country:us/state:fl/place:tampa,Tampa At-Large,4903096a-02e0-45a6-b488-bb456466118e,Charlie Miranda,Nonpartisan,Independent,Non-White,Hispanic or Latino,Male,City,1,FL
FL,8dcc24a6-058d-4b8d-be42-b10c0331f0ed,Tampa City Council Member,District 6,locality,,,,Tampa city,,ocd-division/country:us/state:fl/place:tampa/council_district:6,Tampa City Council District 6,5e61dab9-6f7a-4e43-b229-34b25201e278,Guido Maniscalco,Nonpartisan,Independent,Non-White,Hispanic or Latino,Male,City,1,FL
FL,87e05ea0-edbd-46ee-a071-44a6fb34a09b,Tampa City Council Member,District 7,locality,,,,Tampa city,,ocd-division/country:us/state:fl/place:tampa/council_district:7,Tampa City Council District 7,394cea08-3a19-48d4-8e7c-548f3072e5f0,Luis Viera,Nonpartisan,Independent,Non-White,Hispanic or Latino,Male,City,1,FL
FL,5e0940e3-a0c9-4822-9b3e-771031cea112,Tampa City Council Member,At-Large District 1,locality,,,,Tampa city,,ocd-division/country:us/state:fl/place:tampa,Tampa At-Large,c412885e-345d-458b-869f-dd33bceae4d2,Joseph Citro,Nonpartisan,Independent,White,White,Male,City,1,FL
FL,48bebb97-f932-467d-bf33-f12c8c05f614,Tampa City Council Member,At-Large District 3,locality,,,,Tampa city,,ocd-division/country:us/state:fl/place:tampa,Tampa At-Large,56b3b2b7-79df-402b-b12a-f81b4e791265,John Dingfelder,Nonpartisan,Independent,White,White,Male,City,1,FL
FL,d9271075-a5ef-429d-914d-4d1cb65533d9,Tampa City Council Member,District 4,locality,,,,Tampa city,,ocd-division/country:us/state:fl/place:tampa/council_district:4,Tampa City Council District 4,acce7ebd-526e-4144-80c2-043ae407f8a6,Bill Carlson,Nonpartisan,Independent,White,White,Male,City,1,FL
FL,7569f604-295c-4017-94a7-76e93fc4b9bf,Tampa Mayor,,locality,,,,Tampa city,,ocd-division/country:us/state:fl/place:tampa,Tampa city,921c98fe-7d75-463c-8de5-ed15bf599756,Jane Castor,Nonpartisan,Independent,White,White,Female,City,1,FL
GA,d61444cd-c344-4778-b0c4-968523c34080,Atlanta City Council Member,At-Large Post 1,locality,,,,Atlanta city,,ocd-division/country:us/state:ga/place:atlanta,Atlanta city,6bec3706-f651-4a56-91d8-9e8a69ab0250,Michael Julian Bond,Nonpartisan,Independent,Non-White,Black or African American,Male,City,1,GA
GA,9511dbd7-7521-4ed6-912c-09136145fcec,Atlanta City Council Member,At-Large Post 3,locality,,,,Atlanta city,,ocd-division/country:us/state:ga/place:atlanta,Atlanta city,91f197a4-67fd-4600-8e36-84208c1a2efe,Andre Dickens,Nonpartisan,Independent,Non-White,Black or African American,Male,City,1,GA
GA,1a0a9f8a-a871-4a14-81f0-a47cf441b3b2,Atlanta City Council Member,District 10,locality,,,,Atlanta city,,ocd-division/country:us/state:ga/place:atlanta/council_district:10,Atlanta City Council District 10,495975df-c36f-4af5-b00c-c539458f1c2a,Andrea L. Boone,Nonpartisan,Independent,Non-White,Black or African American,Female,City,1,GA
GA,1ce9579d-460a-4d20-9dd1-3eab0cc750f6,Atlanta City Council Member,District 11,locality,,,,Atlanta city,,ocd-division/country:us/state:ga/place:atlanta/council_district:11,Atlanta City Council District 11,2e83018e-5c71-41ee-9c9a-e706b760ec90,Marci Collier Overstreet,Nonpartisan,Independent,Non-White,Black or African American,Female,City,1,GA
DC,988ba61d-837e-4f1b-a4c8-be0aed4d16ba,D.C. City Council Member,Ward 2,locality,legislatorUpperBody,City Legislator,D.C. City Council,District of Columbia,,ocd-division/country:us/district:dc/ward:2,District of Columbia Ward 2,b51121bd-72e6-48ad-b6ce-614a9bd7b123,VACANT,,Unknown,Unknown,Unknown,Unknown,City,0,DC
NC,4fb1ccaf-a68b-451f-b321-871c52277d70,Durham City Council Member,Ward 3,locality,,,,Durham city,,ocd-division/country:us/state:nc/place:durham/ward:3,Durham City Council Ward 3,bccad7e0-d3aa-43e5-b76d-803da2a31bdc,VACANT,Nonpartisan,Independent,Unknown,Unknown,Unknown,City,0,NC
GA,12bf154d-1269-4357-8354-fddaff2239d4,Atlanta City Council Member,District 12,locality,,,,Atlanta city,,ocd-division/country:us/state:ga/place:atlanta/council_district:12,Atlanta City Council District 12,9e91f9e9-46fe-427c-967f-cc4a807be869,Joyce M. Sheperd,Nonpartisan,Independent,Non-White,Black or African American,Female,City,1,GA
GA,799cefe7-3115-4cdb-b0bb-a3adee77f419,Atlanta City Council Member,District 3,locality,,,,Atlanta city,,ocd-division/country:us/state:ga/place:atlanta/council_district:3,Atlanta City Council District 3,2ae25edc-8c72-4cad-a608-49f8e5a2a9f3,Antonio Brown,Nonpartisan,Independent,Non-White,Black or African American,Male,City,1,GA
GA,22487892-a767-4959-935b-c466296e7c05,Atlanta City Council Member,District 4,locality,,,,Atlanta city,,ocd-division/country:us/state:ga/place:atlanta/council_district:4,Atlanta City Council District 4,ceb587f1-b831-439b-8200-d97b30b78ac7,Cleta Winslow,Nonpartisan,Independent,Non-White,Black or African American,Female,City,1,GA
GA,dee0d60a-f0e6-475d-aa44-2ac811746f9a,Atlanta City Council Member,District 5,locality,,,,Atlanta city,,ocd-division/country:us/state:ga/place:atlanta/council_district:5,Atlanta City Council District 5,deef792d-d565-4116-9c0e-95e493d72268,Natalyn Archibong,Nonpartisan,Independent,Non-White,Black or African American,Female,City,1,GA
GA,d66c2ce7-84b9-4920-93b4-f710ae560105,Atlanta City Council President,,locality,,,,Atlanta city,,ocd-division/country:us/state:ga/place:atlanta,Atlanta city,f291ab65-8e8c-450d-8673-3a0ecce35972,Felicia A. Moore,Nonpartisan,Independent,Non-White,Black or African American,Female,City,1,GA
GA,5e9534fb-1b39-4739-8cc4-927729a3a265,Atlanta Mayor,,locality,,,,Atlanta city,,ocd-division/country:us/state:ga/place:atlanta,Atlanta city,8b6409de-24a3-4c67-bda8-cc88ab4a30d6,Keisha Lance Bottoms,Nonpartisan,Independent,Non-White,Black or African American,Female,City,1,GA
GA,3e5f0879-cd9e-4634-9dbe-855011c517df,Atlanta City Council Member,At-Large Post 2,locality,,,,Atlanta city,,ocd-division/country:us/state:ga/place:atlanta,Atlanta city,9784c104-b229-45ef-af56-bc48a212c397,Matt Westmoreland,Nonpartisan,Independent,White,White,Male,City,1,GA
GA,dee134f2-fba4-4bad-8d72-8b84bd2ffc95,Atlanta City Council Member,District 1,locality,,,,Atlanta city,,ocd-division/country:us/state:ga/place:atlanta/council_district:1,Atlanta City Council District 1,c6532d2c-7782-403e-b174-213c99a2df11,Carla Smith,Nonpartisan,Independent,White,White,Female,City,1,GA
GA,56e4337e-e0a8-495c-8c5a-a56595481c06,Atlanta City Council Member,District 2,locality,,,,Atlanta city,,ocd-division/country:us/state:ga/place:atlanta/council_district:2,Atlanta City Council District 2,496f9fd1-221f-4097-89ba-cb94cc4811ca,Amir R. Farokhi,Nonpartisan,Independent,White,White,Male,City,1,GA
GA,999b73a4-d1d1-4bdd-9a2c-fd7bd1ea1b7a,Atlanta City Council Member,District 6,locality,,,,Atlanta city,,ocd-division/country:us/state:ga/place:atlanta/council_district:6,Atlanta City Council District 6,afd08697-c40b-474b-afc2-f50d207f5a91,Jennifer N. Ide,Nonpartisan,Independent,White,White,Female,City,1,GA
GA,ac9c467e-fc82-4787-ab29-fba7ef1afbd8,Atlanta City Council Member,District 7,locality,,,,Atlanta city,,ocd-division/country:us/state:ga/place:atlanta/council_district:7,Atlanta City Council District 7,6675820b-7eab-4352-9e48-1e3444124998,Howard Shook,Nonpartisan,Independent,White,White,Male,City,1,GA
GA,24665618-5f4d-4bc7-af6d-83c4ecd75aee,Atlanta City Council Member,District 8,locality,,,,Atlanta city,,ocd-division/country:us/state:ga/place:atlanta/council_district:8,Atlanta City Council District 8,a4352d8d-36e2-4b4b-be96-d884c452671b,J.P. Matzigkeit,Nonpartisan,Independent,White,White,Male,City,1,GA
GA,38642296-ab44-4592-b994-829254383797,Atlanta City Council Member,District 9,locality,,,,Atlanta city,,ocd-division/country:us/state:ga/place:atlanta/council_district:9,Atlanta City Council District 9,a5812c0f-d360-4503-abf6-954c24f2d866,Dustin Hillis,Nonpartisan,Independent,White,White,Male,City,1,GA
IA,b02db101-dd7d-4edb-bfc5-a3faf19aeebd,Des Moines City Council Member,At-Large,locality,,,,Des Moines city,,ocd-division/country:us/state:ia/place:des_moines,Des Moines city,4cdd54da-863c-4e97-9ed8-9c6007a969e6,Connie Boesen,Nonpartisan,Independent,White,White,Female,City,1,IA
IA,69d560ab-6517-4082-8ba7-bf8d45f0fe26,Des Moines City Council Member,At-Large,locality,,,,Des Moines city,,ocd-division/country:us/state:ia/place:des_moines,Des Moines city,2e5b70f0-0517-4ff8-a12f-ed4918805119,Carl Voss,Nonpartisan,Independent,White,White,Male,City,1,IA
IA,2926177c-a79d-488a-a4d0-27675acd08da,Des Moines City Council Member,Ward 1,locality,,,,Des Moines city,,ocd-division/country:us/state:ia/place:des_moines/ward:1,Des Moines City Council Ward 1,4a5c85e5-6b30-41a7-a432-8965dda28500,Bill Gray,Nonpartisan,Independent,White,White,Male,City,1,IA
IA,f2c90c41-2a93-4342-891b-360139ed7716,Des Moines City Council Member,Ward 2,locality,,,,Des Moines city,,ocd-division/country:us/state:ia/place:des_moines/ward:2,Des Moines City Council Ward 2,c03bed3e-1e66-4dbb-bdff-177697efa7c6,Linda Westergaard,Nonpartisan,Independent,White,White,Female,City,1,IA
IA,80e67116-1a59-4e6d-96b8-10cc7b5e1981,Des Moines City Council Member,Ward 3,locality,,,,Des Moines city,,ocd-division/country:us/state:ia/place:des_moines/ward:3,Des Moines City Council Ward 3,6fceafe8-ad1a-4af1-ac1f-7df6afc8bd67,Josh Mandelbaum,Nonpartisan,Independent,White,White,Male,City,1,IA
IA,a6e6eef3-fae1-4a01-b2d8-716c77d4559f,Des Moines City Council Member,Ward 4,locality,,,,Des Moines city,,ocd-division/country:us/state:ia/place:des_moines/ward:4,Des Moines City Council Ward 4,8e993b5c-77d8-450c-97a6-753589b89868,Joe Gatto,Nonpartisan,Independent,White,White,Male,City,1,IA
IA,3bfb2c99-a9ef-4671-b8b6-7376b9a5d2ea,Des Moines Mayor,,locality,,,,Des Moines city,,ocd-division/country:us/state:ia/place:des_moines,Des Moines city,4ae3e2e8-9d63-45d9-b516-3569e7da7a02,T. M. Franklin Cownie,Nonpartisan,Independent,White,White,Male,City,1,IA
ID,9c17b9c2-9ec3-4e6e-923b-3734cf4d5a52,Boise City Council Member,Seat 2,locality,,,,Boise city,,ocd-division/country:us/state:id/place:boise,Boise city,b86591e1-d071-43c1-8405-c6da9743b39f,Lisa E. Sánchez,Nonpartisan,Independent,Non-White,Hispanic or Latino,Female,City,1,ID
ID,177b3f9d-8bff-4f98-bef3-0b30672241c0,Boise City Council Member,Seat 4,locality,,,,Boise city,,ocd-division/country:us/state:id/place:boise,Boise city,c8a0ca04-f857-4406-abf0-c95e38dfa639,TJ Thomson,Nonpartisan,Independent,White,White,Male,City,1,ID
ID,c4375a8e-3722-4c96-8b97-7a4c8d0484c1,Boise City Council Member,Seat 6,locality,,,,Boise city,,ocd-division/country:us/state:id/place:boise,Boise city,7780e1bf-f421-4c4c-af37-07790305d165,Holli Woodings,Nonpartisan,Independent,White,White,Female,City,1,ID
ID,e64b7bd1-949d-425a-b049-c8767823da3a,Boise City Council Member,Seat 5,locality,,,,Boise city,,ocd-division/country:us/state:id/place:boise,Boise city,b997a190-2ebd-421d-9504-6928756fae5c,Elaine Clegg,Nonpartisan,Independent,White,White,Female,City,1,ID
ID,ae1b63c6-6450-41aa-ace3-cb76013903b3,Boise City Council Member,Seat 3,locality,,,,Boise city,,ocd-division/country:us/state:id/place:boise,Boise city,fa72422a-a82b-46d0-9b14-1b0d06a415ed,Jimmy Hallyburtonn,Nonpartisan,Independent,White,White,Male,City,1,ID
ID,cc9d5073-d05e-472f-8467-59342c1d3acc,Boise City Council Member,Seat 1,locality,,,,Boise city,,ocd-division/country:us/state:id/place:boise,Boise city,1ce1315b-c64c-44cd-85d0-cc3faae5fe75,Patrick Bageant,Nonpartisan,Independent,White,White,Male,City,1,ID
ID,8bdf172c-87f7-428b-955b-449e1db02aac,Boise Mayor,,locality,,,,Boise city,,ocd-division/country:us/state:id/place:boise,Boise city,0009ef21-15f6-492b-b4ca-8f2c37af6859,Lauren McLean,Nonpartisan,Independent,White,White,Female,City,1,ID
IL,8664aa48-30cd-49e7-856e-edec33667753,Chicago City Treasurer,,locality,,,,Chicago city,,ocd-division/country:us/state:il/place:chicago,Chicago city,2de2b13e-badb-41a2-ac64-f4429fd79afa,Melissa Conyears-Ervin,Nonpartisan,Independent,Non-White,Black or African American,Female,City,1,IL
IL,bef74ae4-b124-444e-8398-2e53354e628f,Chicago Mayor,,locality,,,,Chicago city,,ocd-division/country:us/state:il/place:chicago,Chicago city,f801acc8-8433-460a-b25f-3eeb294d3d90,Lori Lightfoot,Nonpartisan,Independent,Non-White,Black or African American,Female,City,1,IL
IL,cb2fd6bc-da0e-4e86-acd2-b3efc4af353c,Chicago City Alderpersonperson,Ward 16,locality,,,,Chicago city,,ocd-division/country:us/state:il/place:chicago/ward:16,Chicago City Council Ward 16,451b10ae-d1f7-49bd-9726-f4e76b24103f,Stephanie D. Coleman,Nonpartisan,Independent,Non-White,Black or African American,Female,City,1,IL
IL,7871b0db-3198-4cfd-a587-ed38c14490e0,Chicago City Alderpersonperson,Ward 17,locality,,,,Chicago city,,ocd-division/country:us/state:il/place:chicago/ward:17,Chicago City Council Ward 17,d292c148-658c-4f02-87e6-894de975f50a,David Moore,Nonpartisan,Independent,Non-White,Black or African American,Male,City,1,IL
IL,29f1ef45-81d8-405c-ab17-567ee661f033,Chicago City Alderpersonperson,Ward 18,locality,,,,Chicago city,,ocd-division/country:us/state:il/place:chicago/ward:18,Chicago City Council Ward 18,b97336bd-7c5c-4abc-a0e4-2027fad8c6bb,Derrick G. Curtis,Nonpartisan,Independent,Non-White,Black or African American,Male,City,1,IL
IL,52ab80f9-fb30-4627-bc16-433e9f1a9779,Chicago City Alderpersonperson,Ward 20,locality,,,,Chicago city,,ocd-division/country:us/state:il/place:chicago/ward:20,Chicago City Council Ward 20,1f7a86b6-0531-4b8c-b133-31ca7f2a802a,Jeanette B. Taylor,Nonpartisan,Independent,Non-White,Black or African American,Female,City,1,IL
IL,d964b2e8-2dba-464d-8051-ab020dfa8e3a,Chicago City Alderpersonperson,Ward 21,locality,,,,Chicago city,,ocd-division/country:us/state:il/place:chicago/ward:21,Chicago City Council Ward 21,54dcf303-be35-4e0a-a6f4-512233294c5f,Howard Brookins Jr.,Nonpartisan,Independent,Non-White,Black or African American,Male,City,1,IL
IL,61e32f4d-bb7a-4345-b1ac-1e3d53c3575e,Chicago City Alderpersonperson,Ward 24,locality,,,,Chicago city,,ocd-division/country:us/state:il/place:chicago/ward:24,Chicago City Council Ward 24,0f8bee10-2059-47b0-9cc7-d08e3e7b50ee,Michael Scott Jr.,Nonpartisan,Independent,Non-White,Black or African American,Male,City,1,IL
IL,be75bdee-25aa-4e3c-a847-11ebd2328c74,Chicago City Alderpersonperson,Ward 27,locality,,,,Chicago city,,ocd-division/country:us/state:il/place:chicago/ward:27,Chicago City Council Ward 27,84147b15-a162-4f54-ab08-c57457a0ea1b,"Walter Burnett, Jr.",Nonpartisan,Independent,Non-White,Black or African American,Male,City,1,IL
IL,9dacc23e-4a6a-40f4-bbca-e9dade49f55f,Chicago City Alderpersonperson,Ward 28,locality,,,,Chicago city,,ocd-division/country:us/state:il/place:chicago/ward:28,Chicago City Council Ward 28,1d6db74a-7c32-4cdb-a7b2-4a06d450e7af,Jason Ervin,Nonpartisan,Independent,Non-White,Black or African American,Male,City,1,IL
IL,8cc3b451-8063-4f3e-b252-273427a3088a,Chicago City Alderpersonperson,Ward 29,locality,,,,Chicago city,,ocd-division/country:us/state:il/place:chicago/ward:29,Chicago City Council Ward 29,11e32369-4af4-4113-91b3-d3159b809bd3,Christopher Taliaferro,Nonpartisan,Independent,Non-White,Black or African American,Male,City,1,IL
IL,fe2ae872-466c-411d-aa36-d01c7d04ad67,Chicago City Alderpersonperson,Ward 3,locality,,,,Chicago city,,ocd-division/country:us/state:il/place:chicago/ward:3,Chicago City Council Ward 3,3fad0196-7315-43ac-a44a-7bd97d244cd2,Pat Dowell,Nonpartisan,Independent,Non-White,Black or African American,Female,City,1,IL
IL,cac4271b-e87a-4182-8a1d-c373c314604d,Chicago City Alderpersonperson,Ward 34,locality,,,,Chicago city,,ocd-division/country:us/state:il/place:chicago/ward:34,Chicago City Council Ward 34,4c44c528-52ff-40c4-bfd4-e0c2098dd8ac,Carrie M. Austin,Nonpartisan,Independent,Non-White,Black or African American,Female,City,1,IL
IL,556278d8-1ed0-4ed0-856e-5c6adcc73700,Chicago City Alderpersonperson,Ward 37,locality,,,,Chicago city,,ocd-division/country:us/state:il/place:chicago/ward:37,Chicago City Council Ward 37,22e998ca-30e3-494d-a784-a3b193313bd9,Emma Mitts,Nonpartisan,Independent,Non-White,Black or African American,Female,City,1,IL
IL,d08abe28-3e9c-42a8-be37-19349bd5942c,Chicago City Alderpersonperson,Ward 4,locality,,,,Chicago city,,ocd-division/country:us/state:il/place:chicago/ward:4,Chicago City Council Ward 4,820b0a67-7faa-472d-a700-a89d60a883b0,Sophia King,Nonpartisan,Independent,Non-White,Black or African American,Female,City,1,IL
IL,37e9e4fa-f0f9-4566-9950-64b4fddf3f7e,Chicago City Alderpersonperson,Ward 49,locality,,,,Chicago city,,ocd-division/country:us/state:il/place:chicago/ward:49,Chicago City Council Ward 49,1f219ddd-dc36-4677-b966-732c83814830,Maria E. Hadden,Nonpartisan,Independent,Non-White,Black or African American,Female,City,1,IL
IL,7c58b2b3-b75c-4d9e-a34b-296c76f46e57,Chicago City Alderpersonperson,Ward 5,locality,,,,Chicago city,,ocd-division/country:us/state:il/place:chicago/ward:5,Chicago City Council Ward 5,a4755183-f3f3-4ac3-8645-f056d0dfb350,Leslie A. Hairston,Nonpartisan,Independent,Non-White,Black or African American,Female,City,1,IL
IL,ad4eb557-60e4-4115-80d2-0f051ab25100,Chicago City Alderpersonperson,Ward 6,locality,,,,Chicago city,,ocd-division/country:us/state:il/place:chicago/ward:6,Chicago City Council Ward 6,c11c4102-ded2-43d9-92dc-a9998b9571bf,Roderick Sawyer,Nonpartisan,Independent,Non-White,Black or African American,Male,City,1,IL
IL,afe6342d-9500-4ac1-86c5-f3e0da2b87a6,Chicago City Alderpersonperson,Ward 7,locality,,,,Chicago city,,ocd-division/country:us/state:il/place:chicago/ward:7,Chicago City Council Ward 7,7b66d22a-ec60-4b8e-93cf-c1475556395d,Gregory I. Mitchell,Nonpartisan,Independent,Non-White,Black or African American,Male,City,1,IL
IL,8abe412f-2d9c-4404-a543-c23f41cdcc33,Chicago City Alderpersonperson,Ward 8,locality,,,,Chicago city,,ocd-division/country:us/state:il/place:chicago/ward:8,Chicago City Council Ward 8,2a6b3b1f-bb5d-458b-a47e-7049cc728f51,Michelle A. Harris,Nonpartisan,Independent,Non-White,Black or African American,Female,City,1,IL
IL,2111c4da-6554-41a1-87ef-369bcf5c30e7,Chicago City Alderpersonperson,Ward 9,locality,,,,Chicago city,,ocd-division/country:us/state:il/place:chicago/ward:9,Chicago City Council Ward 9,2bb6573d-681d-4325-a978-98adc695e850,Anthony Beale,Nonpartisan,Independent,Non-White,Black or African American,Male,City,1,IL
IL,400cc4cd-e89c-4e3b-8d98-f9776cbb517a,Chicago City Clerk,,locality,,,,Chicago city,,ocd-division/country:us/state:il/place:chicago,Chicago city,b1869c85-9397-43b9-98a0-beab4e0e73d8,Anna M. Valencia,Nonpartisan,Independent,Non-White,Hispanic or Latino,Female,City,1,IL
IL,b9691638-0d6d-42fc-9f3c-8a763a246d82,Chicago City Alderpersonperson,Ward 12,locality,,,,Chicago city,,ocd-division/country:us/state:il/place:chicago/ward:12,Chicago City Council Ward 12,3777d4b7-f222-45db-abe1-1093b4c915e5,George A. Cardenas,Nonpartisan,Independent,Non-White,Hispanic or Latino,Male,City,1,IL
IL,513c9a45-c3d2-4bdd-916f-03ae3a00d599,Chicago City Alderpersonperson,Ward 15,locality,,,,Chicago city,,ocd-division/country:us/state:il/place:chicago/ward:15,Chicago City Council Ward 15,80e0c385-f6bd-4e83-9c9e-42bb212e8664,Raymond A. Lopez,Nonpartisan,Independent,Non-White,Hispanic or Latino,Male,City,1,IL
IL,6381b15d-188f-48ac-ac20-63c14e372b18,Chicago City Alderpersonperson,Ward 22,locality,,,,Chicago city,,ocd-division/country:us/state:il/place:chicago/ward:22,Chicago City Council Ward 22,8327bbf6-f8da-414d-8584-e3a9edcd56a8,Michael D. Rodriguez,Nonpartisan,Independent,Non-White,Hispanic or Latino,Male,City,1,IL
IL,0c650c43-6862-46e8-b0fc-274765b2334c,Chicago City Alderpersonperson,Ward 23,locality,,,,Chicago city,,ocd-division/country:us/state:il/place:chicago/ward:23,Chicago City Council Ward 23,4a2b34a9-9f67-4946-85fb-9b23bf68ebf2,Silvana Tabares,Nonpartisan,Independent,Non-White,Hispanic or Latino,Female,City,1,IL
IL,8cdbfeeb-91a0-46d0-904e-e081bdeb706c,Chicago City Alderpersonperson,Ward 25,locality,,,,Chicago city,,ocd-division/country:us/state:il/place:chicago/ward:25,Chicago City Council Ward 25,cac08dfb-8763-4fba-afe6-2b0ef929497a,Byron Sigcho Lopez,Nonpartisan,Independent,Non-White,Hispanic or Latino,Male,City,1,IL
IL,540aa624-200a-4e4a-bfd4-45f7823e0c7d,Chicago City Alderpersonperson,Ward 26,locality,,,,Chicago city,,ocd-division/country:us/state:il/place:chicago/ward:26,Chicago City Council Ward 26,c6ba6a08-deaa-4750-bab5-ba8dd8c54e3f,Roberto Maldonado,Nonpartisan,Independent,Non-White,Hispanic or Latino,Male,City,1,IL
IL,53e03d88-3ccd-4eb2-88bf-04b83aea2e8e,Chicago City Alderpersonperson,Ward 30,locality,,,,Chicago city,,ocd-division/country:us/state:il/place:chicago/ward:30,Chicago City Council Ward 30,359f94dc-dcd7-41dc-a7ad-46f46873d678,Ariel E. Reboyras,Nonpartisan,Independent,Non-White,Hispanic or Latino,Male,City,1,IL
